DRID,NAME,INFO,FLOOR,IMAGEURL,FLOORINFO
341,胖胖烤肉饭,美味多样，质量保证，选择丰富,2,https://wizzcampus.helloyzy.cn/guide341.png,丁香二楼
342,台式鸡排饭,不出校门就能品尝到的台湾美食,2,https://wizzcampus.helloyzy.cn/guide342.png,丁香二楼
343,川味锅巴饭,具有地方风味的锅巴饭，荤素搭配,2,https://wizzcampus.helloyzy.cn/guide343.png,丁香二楼
344,饺子蘸水面,传统美食，保质保量，价格实惠,2,https://wizzcampus.helloyzy.cn/guide344.png,丁香二楼
345,香辣脆皮炸鸡饭,炸鸡酥脆的口感令人回味,2,https://wizzcampus.helloyzy.cn/guide345.png,丁香二楼
346,台式卤肉饭,台湾当地风味，领略台式风情,2,https://wizzcampus.helloyzy.cn/guide346.png,丁香二楼
347,沸腾鱼乡,沸腾的热浪刺激你的味蕾，令人食欲大开,2,https://wizzcampus.helloyzy.cn/guide347.png,丁香二楼
348,湖南蒸菜,湖南风味，酸甜苦辣多种多样,2,https://wizzcampus.helloyzy.cn/guide348.png,丁香二楼
349,黄焖鸡米饭,黄焖令菜品与汁液水乳交融，十分诱人,2,https://wizzcampus.helloyzy.cn/guide349.png,丁香二楼
350,福乐西式咖喱鸡排米饭,诱人的咖喱配上酥脆的鸡排，令人垂涎,2,https://wizzcampus.helloyzy.cn/guide350.png,丁香二楼
351,西岐天香四棱子面,西岐特色的汤面，健康绿色的菠菜面,2,https://wizzcampus.helloyzy.cn/guide351.png,丁香二楼
352,兰州伊味香牛肉拉面,清真特色面食，感受异域风味,2,https://wizzcampus.helloyzy.cn/guide352.png,丁香二楼
353,金丝饼肉饼,经济实惠，易携带，易保存，味道好,2,https://wizzcampus.helloyzy.cn/guide353.png,丁香二楼
354,鸡公煲鸡汤泡饼,公煲种类丰富，配有鸡汤泡饼，美味可口,2,https://wizzcampus.helloyzy.cn/guide354.png,丁香二楼
355,华夫饼卤肉卷,适合在清晨作为早餐，携带方便,2,https://wizzcampus.helloyzy.cn/guide355.png,丁香二楼
356,过桥米线,种类丰富的云南经典吃食，口感顺滑,2,https://wizzcampus.helloyzy.cn/guide356.png,丁香二楼
357,砂锅凉皮肉夹馍,搭配丰富，有多种口味可供挑选,2,https://wizzcampus.helloyzy.cn/guide357.png,丁香二楼
358,螺狮粉湖南米粉,舌尖上的中国推荐美食螺蛳粉,2,https://wizzcampus.helloyzy.cn/guide358.png,丁香二楼
359,铁板炒米饭米粉,口感独特的炒米饭、炒米粉,2,https://wizzcampus.helloyzy.cn/guide359.png,丁香二楼
360,老汤米线,大分量的老汤米线，妈妈再也不用担心我吃面吃不饱了,2,https://wizzcampus.helloyzy.cn/guide360.png,丁香二楼
361,野生菌煮馍,陕西本地特色煮馍，价格实惠，选择多样,2,https://wizzcampus.helloyzy.cn/guide361.png,丁香二楼
362,小四川冒菜,一家价格实惠的冒菜窗口，品种丰富,2,https://wizzcampus.helloyzy.cn/guide362.png,丁香二楼
363,自助餐,煎炸炖煮蒸炒煲，自助餐厅里都有,3,https://wizzcampus.helloyzy.cn/guide363.png,丁香三楼
364,自助小火锅,新概念火锅健康美味，红火的日子更有味,3,https://wizzcampus.helloyzy.cn/guide364.png,丁香三楼
365,特色手工拉条子,炸酱油泼蘸水面，西红柿鸡蛋肉拌面,3,https://wizzcampus.helloyzy.cn/guide365.png,丁香三楼
366,煮馍,汤鲜味浓，馍筋肉香,3,https://wizzcampus.helloyzy.cn/guide366.png,丁香三楼
367,东北水饺,皮儿薄馅儿多，东北大饺子,3,https://wizzcampus.helloyzy.cn/guide367.png,丁香三楼
368,正宗秦镇凉皮,一碗秦镇凉皮，延续千年文明,3,https://wizzcampus.helloyzy.cn/guide368.png,丁香三楼
369,麻辣香锅,荤素菌丸鲜，麻辣香锅见,3,https://wizzcampus.helloyzy.cn/guide369.png,丁香三楼
370,特色手工面,弹性十足的手工面遇上丰富精美的菜品,3,https://wizzcampus.helloyzy.cn/guide370.png,丁香三楼
371,各色炒菜,种类丰富，菜品极好，宴会聚餐之首选,3,https://wizzcampus.helloyzy.cn/guide371.png,丁香三楼
372,成都老面馆,卤肉面，香猪脚面，牛腩面，面面俱到,3,https://wizzcampus.helloyzy.cn/guide372.png,丁香三楼
401,重庆鸡公煲,鸡公煲 香锅，人气很旺,2,https://wizzcampus.helloyzy.cn/guide401.png,老综二楼
402,大碗卤肉饭,特色是卤肉饭，环境整洁,2,https://wizzcampus.helloyzy.cn/guide402.png,老综二楼
403,百碗香,特色是排骨米饭，锡纸饭,2,https://wizzcampus.helloyzy.cn/guide403.png,老综二楼
404,菜饭骨头汤,特色菜有 口水鸡 牛肉面 浓汁鸡煲饭 淮南牛肉汤,2,https://wizzcampus.helloyzy.cn/guide404.png,老综二楼
405,捞起渔生,有鱼有菜，鱼米鲜香,2,https://wizzcampus.helloyzy.cn/guide405.png,老综二楼
406,TOM电台,很有氛围的一家店,2,https://wizzcampus.helloyzy.cn/guide406.png,老综二楼
407,刘二姐川菜,主营炒菜	米饭 盖浇饭，人气很旺,2,https://wizzcampus.helloyzy.cn/guide407.png,老综二楼
408,京都肉饼王,特色是 凉皮 米线	八宝粥 丸子汤 酱肘子 饼,2,https://wizzcampus.helloyzy.cn/guide408.png,老综二楼
409,苏焱记旋转小火锅,老板态度很好，灯光效果不错,2,https://wizzcampus.helloyzy.cn/guide409.png,老综二楼
410,川锦汇麻辣拌,介于麻辣烫和香锅之间的一种食物,2,https://wizzcampus.helloyzy.cn/guide410.png,老综二楼
